Stat,Sheet,Formula,Notes
Win from bye?,team_week,The mirror of 'Loss from bye?': TRUE when a WIN would have flipped to a LOSS once BOTH teams' on-bye would-be-starters are restored — this team's PF + its bye gain falls short of the opponent's PF + the opponent's bye gain.,"Symmetric like 'Loss from bye?'. A win gifted by the opponent sitting more bye-week starter value than this team. Bye only, never injury/suspension."
Wins from byes,team_year / team_all_time,"Count of 'Win from bye?' weeks per (Team, Year) / per Team all-time — i.e. how many of the team's wins would be losses in a no-bye world.","Blank for a (team, year) with no games; a real 0 stays 0."
Starter scoring volatility,player_year / player_all_time,Standard deviation of the player's points over his STARTED weeks only (bench weeks excluded).,"Blank for a player who never started, and with fewer than 2 started weeks. player_year per season; player_all_time pools every started week."
Starter scoring floor,player_year / player_all_time,"The lowest single started-week points the player scored (absolute minimum over started weeks, not a percentile).",Blank for a player who never started.
Starter scoring ceiling,player_year / player_all_time,The highest single started-week points the player scored (absolute maximum over started weeks).,Blank for a player who never started.
Starter boom %,player_year / player_all_time,"Share of the player's ACTIVE started weeks whose score landed in the BOOM tier — the top 10% (>= p90) of the ALL-TIME pooled distribution of active starter scores for that player's position (each week judged against its own position's bars). Position-relative, so it's comparable across positions.",The 5 Starter tier shares (boom / upper quartile / middle 50% / lower quartile / bust) sum to ~100%. Keeps a real 0 for a player who started but never boomed; blank if he never had an active start.
Starter upper quartile %,player_year / player_all_time,"Share of the player's active started weeks in the UPPER-QUARTILE tier — between the position's p75 and p90 all-time starter scores (above the middle 50%, below a boom).",Part of the 5-tier positional split; blank with no active starts.
Starter middle 50% %,player_year / player_all_time,Share of the player's active started weeks in the MIDDLE-50% tier — between the position's p25 and p75 all-time starter scores (the interquartile range).,Part of the 5-tier positional split; blank with no active starts.
Starter lower quartile %,player_year / player_all_time,"Share of the player's active started weeks in the LOWER-QUARTILE tier — between the position's p10 and p25 all-time starter scores (below the middle 50%, above a bust).",Part of the 5-tier positional split; blank with no active starts.
Starter bust %,player_year / player_all_time,Share of the player's ACTIVE started weeks whose score landed in the BUST tier — the bottom 10% (<= p10) of the position's all-time pooled active-starter scores.,Position-relative (a TE bust bar sits lower than a QB's). Keeps a real 0 for a player who started but never busted; blank if he never had an active start.
Consistency percentile,player_year / player_all_time,"Position-adjusted league-wide percentile (0–100) of Starter scoring volatility INVERTED — the steadiest (lowest volatility) player at his position = 100. player_year ranks within (season, position); player_all_time within position across all players.",#10. Blank with no underlying volatility (never started / <2 starts). Ties share the average rank.
Floor percentile,player_year / player_all_time,Position-adjusted league-wide percentile of Starter scoring floor — the highest floor at the position = 100.,#10. Blank for a player who never started. Ties share the average rank.
Ceiling percentile,player_year / player_all_time,Position-adjusted league-wide percentile of Starter scoring ceiling — the highest ceiling at the position = 100.,#10. Blank for a player who never started. Ties share the average rank.
Starter PAR,player_year / player_all_time,Points Above Replacement summed over started weeks. Each week the replacement level = the mean of the BOTTOM THIRD of that week's STARTED scores at the player's position; PAR_week = his points − that level; Starter PAR = the Σ.,"Value over a freely-startable option, week by week. Blank for a player who never started."
Starter PAR per game,player_year / player_all_time,The mean (not sum) of the per-started-week PAR — average points above a last-startable replacement.,Blank for a player who never started.
Rostered scoring volatility,player_year / player_all_time,Standard deviation of the player's points over every week he actually PLAYED while rostered — started OR benched — excluding bye/injury/suspension weeks.,"Companion to the started-only set, including the low weeks a manager benched him for. Blank with no played weeks (and <2 weeks)."
Rostered scoring floor,player_year / player_all_time,The lowest single played-while-rostered week's points (started or benched; non-played weeks excluded).,Blank with no played weeks.
Rostered scoring ceiling,player_year / player_all_time,The highest single played-while-rostered week's points (started or benched).,Blank with no played weeks.
Rostered boom %,player_year / player_all_time,Share of played-while-rostered weeks (started OR benched) whose score landed in the BOOM tier — top 10% (>= p90) of the position's all-time pooled active-starter scores (same positional bars as 'Starter boom %').,The 5 Rostered tier shares sum to ~100%. Real 0 if he played but never boomed; blank with no played weeks.
Rostered upper quartile %,player_year / player_all_time,"Share of played-while-rostered weeks in the UPPER-QUARTILE tier (position p75-p90), same bars as the Starter version but over every played week, started or benched.",Part of the 5-tier positional split; blank with no played weeks.
Rostered middle 50% %,player_year / player_all_time,Share of played-while-rostered weeks in the MIDDLE-50% tier (position p25-p75 interquartile range).,Part of the 5-tier positional split; blank with no played weeks.
Rostered lower quartile %,player_year / player_all_time,Share of played-while-rostered weeks in the LOWER-QUARTILE tier (position p10-p25).,Part of the 5-tier positional split; blank with no played weeks.
Rostered bust %,player_year / player_all_time,Share of played-while-rostered weeks (started OR benched) whose score landed in the BUST tier — bottom 10% (<= p10) of the position's all-time pooled active-starter scores.,Position-relative. Real 0 if he played but never busted; blank with no played weeks.
Positional scoring percentile,player_week,"Where the week's score places (0-100) within the ALL-TIME pooled distribution of ACTIVE starter scores for the player's position — percent of that position's starter weeks scoring at or below this week. Drives the 5 scoring tiers (Bust <= p10, Lower quartile p10-p25, Middle 50% p25-p75, Upper quartile p75-p90, Boom >= p90).","Blank on bye / injury / suspension weeks (a 0 there isn't a real score), and for a position with no reference starter scores."
Starter positional-tier streaks,player_week,"All-time running count of consecutive STARTED weeks whose Positional scoring percentile put the player in that tier (Boom / Upper quartile / Middle 50% / Lower quartile / Bust). Terminal-encoded like the other player streaks: the length shows on the run's final week, 'In Progress' before, 0 on a started week in a different tier.",Bye / injury / suspension weeks — and benched weeks — are skipped (the run bridges across them; those cells read blank). Spans seasons.
Rostered positional-tier streaks,player_week,"Like the Starter tier streaks but over every PLAYED week (started OR benched): consecutive played weeks in that positional scoring tier, terminal-encoded.",Bye / injury / suspension weeks are skipped (blank; the run bridges them). Spans seasons.
% of starters in each positional scoring tier,team_week / team_year / team_all_time / league_week / league_year / league_all_time,"Share of ACTIVE starters whose score fell in each of the 5 positional scoring tiers — on the team sheets over the TEAM's starters, on the league sheets over EVERY team's starters league-wide — that week (…_week), pooled over the season (…_year), or pooled all-time (…_all_time). Each starter is judged against its own position's all-time starter-score bars; the 5 shares sum to ~100%.",Bye / injury / suspension starts are excluded (no real score). Blank for a week/period with no active starters.
Rostered consistency percentile,player_year / player_all_time,"Position-adjusted league-wide percentile of Rostered scoring volatility INVERTED (steadiest = 100), ranked like the Starter percentiles.",Blank with no underlying volatility. Ties share the average rank.
Rostered floor percentile,player_year / player_all_time,Position-adjusted league-wide percentile of Rostered scoring floor (highest = 100).,Blank with no played weeks. Ties share the average rank.
Rostered ceiling percentile,player_year / player_all_time,Position-adjusted league-wide percentile of Rostered scoring ceiling (highest = 100).,Blank with no played weeks. Ties share the average rank.
One-man army?,team_week,"Weekly flag: TRUE for the team whose single top starter supplied the greatest share of its PF that week (highest '% of points (if starter)' among teams' top starters). One winner per league-week, ties shared.",Its top starter is that week's Captain.
Most bench points?,team_week,"Weekly flag: TRUE for the team with the highest total bench points that week. One winner per league-week, ties shared.",Mirrors the weekly-award pattern.
Most injured?,team_week,Weekly flag: TRUE for the team with the most injured players (starters + bench) that week. Needs ≥1 injury — a 0-injury week has no winner.,Ties shared.
Times One-man army?,team_year / team_all_time,Season / career count of weeks the team was the One-man army.,Rolls up the weekly flag.
Times Most bench points?,team_year / team_all_time,Season / career count of weeks the team left the most points on its bench.,Rolls up the weekly flag.
Times Most injured?,team_year / team_all_time,Season / career count of weeks the team was the most injured.,Rolls up the weekly flag.
Captain?,player_week,Weekly flag: TRUE for the single starter league-wide who supplied the highest share of his team's PF that week (max '% of points (if starter)'; alphabetical tie-break). The Captain's team is that week's One-man army.,One Captain per league-week.
Times as Captain?,player_year / player_all_time,Season (player_year) / career (player_all_time) count of weeks the player was the weekly Captain.,Rolls up the weekly Captain flag.
Highest score streak,team_week,"All-time running count of consecutive weeks this team had the week's highest team PF — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Lowest score streak,team_week,"All-time running count of consecutive weeks this team had the week's lowest team PF — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Narrowest victory streak,team_week,"All-time running count of consecutive weeks this team won by the week's narrowest margin — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Largest blowout streak,team_week,"All-time running count of consecutive weeks this team won by the week's largest margin — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Most efficient streak,team_week,"All-time running count of consecutive weeks this team was the week's most efficient team (PF / Max PF) — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Least efficient streak,team_week,"All-time running count of consecutive weeks this team was the week's least efficient team — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Top half streak,team_week,"All-time running count of consecutive weeks this team finished the week in the top half of the league by PF — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
One-man army streak,team_week,"All-time running count of consecutive weeks this team was the One-man army (rostered the week's Captain) — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Most bench points streak,team_week,"All-time running count of consecutive weeks this team left the most points on its bench — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Most injured streak,team_week,"All-time running count of consecutive weeks this team had the most injured players — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Bottom half streak,team_week,"All-time running count of consecutive weeks this team finished the week in the bottom half by PF — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
150+ PF streak,team_week,"All-time running count of consecutive weeks this team scored 150 or more PF — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Standings leader streak,team_week,"All-time running count of consecutive weeks this team sat at #1 in the regular-season standings — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Quiet streak,team_week,"All-time running count of consecutive weeks this team made no roster moves (0 transactions and 0 trades) — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Win streak vs this opponent,team_week,"All-time running count of consecutive weeks this team beat this same weekly opponent head-to-head — does NOT reset between seasons. TERMINAL-ENCODED: the run's length shows only on its final/most-recent week; earlier weeks read 'In Progress', non-run weeks read 0 (so a descending sort surfaces each streak once).",Sortable top-N encoding.
Player of the week streak,player_week,"All-time running count of consecutive weeks the player was Player of the week (highest-scoring starter league-wide) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
QB of the week streak,player_week,"All-time running count of consecutive weeks the player was QB of the week (highest-scoring QB starter) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
RB of the week streak,player_week,"All-time running count of consecutive weeks the player was RB of the week (highest-scoring RB starter) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
WR of the week streak,player_week,"All-time running count of consecutive weeks the player was WR of the week (highest-scoring WR starter) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
TE of the week streak,player_week,"All-time running count of consecutive weeks the player was TE of the week (highest-scoring TE starter) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Benchwarmer of the week streak,player_week,"All-time running count of consecutive weeks the player was Benchwarmer of the week (lowest-scoring starter) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Bench QB of the week streak,player_week,"All-time running count of consecutive weeks the player was Bench QB of the week (highest-scoring QB on a bench) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Bench RB of the week streak,player_week,"All-time running count of consecutive weeks the player was Bench RB of the week (highest-scoring RB on a bench) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Bench WR of the week streak,player_week,"All-time running count of consecutive weeks the player was Bench WR of the week (highest-scoring WR on a bench) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Bench TE of the week streak,player_week,"All-time running count of consecutive weeks the player was Bench TE of the week (highest-scoring TE on a bench) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Highest starter on team streak,player_week,"All-time running count of consecutive weeks the player was its team's highest-scoring starter — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Lowest starter on team streak,player_week,"All-time running count of consecutive weeks the player was its team's lowest-scoring starter — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Captain streak,player_week,"All-time running count of consecutive weeks the player was Captain (the starter with the highest share of his team's PF, league-wide) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
10+ point streak,player_week,"All-time running count of consecutive weeks the player scored 10 or more points (started or benched) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
20+ point streak,player_week,"All-time running count of consecutive weeks the player scored 20 or more points (started or benched) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
30+ point streak,player_week,"All-time running count of consecutive weeks the player scored 30 or more points (started or benched) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
40+ point streak,player_week,"All-time running count of consecutive weeks the player scored 40 or more points (started or benched) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
50+ point streak,player_week,"All-time running count of consecutive weeks the player scored 50 or more points (started or benched) — does NOT reset between seasons. TERMINAL-ENCODED (length on the final week, 'In Progress' before, 0 when broken). Bye/injury/suspension weeks are skipped (the run bridges them; those cells read blank).",Sortable top-N encoding.
Win streak,team_week,"Current consecutive wins WITHIN the season, as a running count each week.",Not terminal-encoded — a plain running streak that resets between seasons.
Loss streak,team_week,"Current consecutive losses within the season, as a running count.",Not terminal-encoded; resets between seasons.
Win streak counting previous season,team_week,Consecutive wins carried ACROSS season boundaries (does not reset at year end).,"Running count, not terminal-encoded."
Loss streak counting previous season,team_week,Consecutive losses carried across season boundaries.,"Running count, not terminal-encoded."
Playoff appearance streak,team_year,"Consecutive seasons the team made the playoffs (top 4 by regular-season standings). ALL-TIME (doesn't reset) and terminal-encoded: the length shows on the final season of the run, 'In Progress' before, 0 when broken.",Season-grain (the season is its 'week'). A season with no games yet reads blank.
Winning season streak,team_year,Consecutive seasons finishing ≥ .500 (Win % ≥ 0.5). ALL-TIME and terminal-encoded like the weekly streaks.,A current/future season with no games yet reads blank.
Highest Win % vs a team,team_all_time,"Across all opponents this team has actually played (≥1 all-time game), the maximum of its 'Win % vs <opponent>'.",Opponents never played are excluded. 'Team for highest Win %' holds the matching opponent.
Lowest Win % vs a team,team_all_time,"Across all opponents actually played, the minimum 'Win % vs <opponent>'.",Opponents never played are excluded so 'lowest' isn't trivially 0.
Team for highest Win %,team_all_time,The opponent handle against whom this team's all-time Win % is highest.,Links to that team's team_all_time row in the xlsx.
Team for lowest Win %,team_all_time,The opponent handle against whom this team's all-time Win % is lowest.,Among opponents actually played.
UPST,team_week / league_week / league_year / league_all_time,team_week: 1 if the team won while its pregame avg Max PF was below the opponent's (an upset win). League sheets sum those flags (week = upsets that week; year/all-time = total upsets).,Formerly duplicated on the league sheets as 'Number of wins with pregame avg max PF from opponent' — that redundant column was removed; UPST is the single source.
Number of starting donuts,league_week / league_year / league_all_time,League-wide sum of team_week 'Number of starter donuts' (started players who scored exactly 0).,"Companion to 'Number of donuts' (all rostered players). Starter-only version. Every started 0 counts — you fielded them, so bye / injury / suspension is not excluded (unlike the bench portion of 'Number of donuts')."
Highest starter score,league_week / league_year / league_all_time,Max single-starter fantasy score league-wide over the period (week / season / all-time).,'Difference between highest and lowest starters' is the gap to the lowest.
Lowest starter score,league_week / league_year / league_all_time,Min single-starter fantasy score league-wide over the period.,Can be negative (a started QB with a net-negative game).
Offseason trades,team_year / team_all_time / league_year / league_all_time,DISTINCT trade events (by timestamp) the team / league was in that were dated BEFORE that season's kickoff (Sept 7). Each trade counts once regardless of how many teams were involved.,Year sheets per season; all-time sums across seasons (a trade lives in one season). Replaces the per-team 'Number of trades' which multi-counted multi-team trades.
Inseason trades,team_year / team_all_time / league_year / league_all_time,DISTINCT trade events on/after that season's kickoff. Counted once per trade.,Year per season; all-time sums.
Total trades,team_year / team_all_time / league_year / league_all_time,Offseason trades + Inseason trades — all distinct trade events the team / league was in.,Each multi-team trade counts once.
Top team,player_all_time,"The fantasy team (manager) that rostered the player for the most time over the period. Reconciles transaction-tenure duration with the player's rostered weeks in player_week, so a teleport (a roster carryover with no transaction, e.g. a season-boundary carry) still counts toward the team that actually held him longest.","Manager name; links to its team_all_time row. The player_week reconciliation was added to stop an early, short tenure from outranking a long teleport tenure (Daniel Jones read shmuel256 for JacobRosenzweig)."
Top Team,player_year,Alias of 'Top team' (capitalised header on player_year): the manager who rostered the player longest over the season.,Same definition as 'Top team'.
Last team,player_year / player_all_time,"The fantasy team that held the player at the END of the season (in-season window only, so an offseason move doesn't overwrite it). All-time reconciles the last tenure event with player_week: a tenure event that predates the player's last rostered season is treated as stale, so the team he was actually on most recently wins (a teleported player isn't stuck on an old team).",Manager name; links to its team_all_time row.
Age,player_week / player_year,The player's age in decimal years as of that week (birth_date vs the week's date). Per-season = mean weekly age (≈ mid-season).,"Anchored to the week, not today. Blank with no birth_date."
Rookie?,player_week / player_year,TRUE in the player's rookie NFL season.,
Injury?,player_week,"TRUE when the player was rostered, scored 0, didn't play, and it wasn't a bye or suspension. From the in-house weekly injury tracker, backed by nflverse.",A player who scored > 0 is never flagged. Suspension wins over injury; bye wins over both.
Suspension?,player_week,TRUE when the player was serving an NFL suspension that week.,Takes precedence over Injury?; excluded from Hardship.
Bye?,player_week,"TRUE when the player had no NFL game that week — his team was on bye, or he had no active NFL team at all (retired / unsigned, NFL team = 'NFL').",Wins over Injury? and Suspension?; excluded from Hardship. The no-team clause keeps retired meme-pickups out of injury counts.
% of points (if starter),player_week,How much of his team's starting score a started player provided. player points / team PF; blank for bench players.,Drives the weekly Captain / One-man army awards.
Change from previous week,player_week,This week's points minus his prior PLAYED week's points.,Blank on bye/injury/suspension weeks and in his first played week; the next played week bridges the gap.
Change from previous 5 weeks avg,player_week,This week's points minus the average of his previous 5 PLAYED weeks — is he heating up or cooling off?,Non-played weeks are excluded from the baseline and are themselves blank.
Change from career average to that point,player_week,This week's points minus his career PPG through the prior week (played weeks only).,Blank on bye/injury/suspension weeks and in his very first career week.
Change from overall career average,player_week,This week's points minus his full-career PPG (all played weeks).,Non-played weeks are excluded from the baseline and are themselves blank.
Number of weeks on team,player_week,"Running count of consecutive weeks the player has been on his current team, through this week.",Resets when he joins a new team.
Per-team tenure metrics (terminal-encoded),player_week,"A player's whole tenure with one team, terminal-encoded (value on his last week there, 'In Progress' before) so a sort ranks each player-team run once. '% of starts' = started / rostered weeks; '% of team points' = his starter points / the team's starter PF (0-1); the rest are weeks, points, and PPG as a starter or on the bench, and weeks as the team's top/bottom starter.",Separate stints with the same team share one tenure. Each column has a '… this season' sibling that resets per year.
Player tenure totals (not per team),player_year / player_all_time,Season / career totals across all teams. Rostered = started + benched weeks; '% of starts' = started / rostered; 'Total points as starter' = his starter points; '% of league points' = those points / the league's whole starter scoring (0-1).,"'Weeks as starter', 'PPG starter', and 'Times as Highest/Lowest starter on team?' are the other non-team versions."
Number of consecutive weeks on bench before start (if starter),player_week,"On a week he STARTS, how many weeks in a row he sat on the bench just beforehand.",Only populated on a starting week.
Number of consecutive weeks on bench before start excluding injury/bye (if starter),player_week,"Same as the previous column, but weeks he was unavailable (injury / bye / suspension) don't count as benched.",Only populated on a starting week.
Difference from best startable bench (if starter),player_week,For a STARTER: his points minus the best bench player he could have started instead. Negative = a benched player beat him.,That bench player is named in 'Reference player name'.
Difference from worst benchable starter (if bench),player_week,For a BENCH player: his points minus the weakest starter he could have replaced. Positive = he should have played.,
Reference player name,player_week,"The player the start/sit difference is measured against that week — the best startable bench player, or the worst benchable starter.",Links to that player's player_week row for the same year and week.
Difference in averages of best/worst startables over previous 5 games,player_week,"The same best-bench / worst-starter comparison, but on each side's trailing-5-game average instead of this week's single score.",Smooths out one-week noise in the start/sit signal.
Cuff adjusted difference,player_week,The start/sit difference combined with the handcuff signal — whether a much-higher-upside cuff was available.,Pairs with '- Activated Cuff?'.
- Activated Cuff? (Was a player of the same nfl team/position & who averages >10 PPG more over last 5 played games injured? Only for players with avg <10 PPG),player_week,"TRUE when a rostered handcuff (same NFL team + position, averaging 10+ more PPG over the last 5 played games) was started while its starter was hurt. Only considered for players averaging under 10 PPG.",Feeds the Cuff adjusted difference.
Player of the week?,player_week,TRUE the week the player was the highest-scoring starter league-wide.,One per week (alphabetical tie-break). Count is 'Times as Player of the week?'.
Times as Player of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring starter league-wide.,
QB of the week?,player_week,TRUE the week the player was the highest-scoring QB starter.,One per week (alphabetical tie-break). Count is 'Times as QB of the week?'.
Times as QB of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring QB starter.,
RB of the week?,player_week,TRUE the week the player was the highest-scoring RB starter.,One per week (alphabetical tie-break). Count is 'Times as RB of the week?'.
Times as RB of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring RB starter.,
WR of the week?,player_week,TRUE the week the player was the highest-scoring WR starter.,One per week (alphabetical tie-break). Count is 'Times as WR of the week?'.
Times as WR of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring WR starter.,
TE of the week?,player_week,TRUE the week the player was the highest-scoring TE starter.,One per week (alphabetical tie-break). Count is 'Times as TE of the week?'.
Times as TE of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring TE starter.,
Benchwarmer of the week?,player_week,TRUE the week the player was the lowest-scoring starter (no winner if 2+ tie at 0).,One per week (alphabetical tie-break). Count is 'Times as Benchwarmer of the week?'.
Times as Benchwarmer of the week?,player_year / player_all_time,Season / career count of weeks the player was the lowest-scoring starter (no winner if 2+ tie at 0).,
Bench QB of the week?,player_week,TRUE the week the player was the highest-scoring QB left on a bench.,One per week (alphabetical tie-break). Count is 'Times as Bench QB of the week?'.
Times as Bench QB of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring QB on a bench.,
Bench RB of the week?,player_week,TRUE the week the player was the highest-scoring RB left on a bench.,One per week (alphabetical tie-break). Count is 'Times as Bench RB of the week?'.
Times as Bench RB of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring RB on a bench.,
Bench WR of the week?,player_week,TRUE the week the player was the highest-scoring WR left on a bench.,One per week (alphabetical tie-break). Count is 'Times as Bench WR of the week?'.
Times as Bench WR of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring WR on a bench.,
Bench TE of the week?,player_week,TRUE the week the player was the highest-scoring TE left on a bench.,One per week (alphabetical tie-break). Count is 'Times as Bench TE of the week?'.
Times as Bench TE of the week?,player_year / player_all_time,Season / career count of weeks the player was the highest-scoring TE on a bench.,
Highest starter on team?,player_week,TRUE the week the player was his team's highest-scoring starter.,One per team per week (alphabetical tie-break). Count is 'Times as Highest starter on team?'.
Times as Highest starter on team?,player_year / player_all_time,Season / career count of weeks the player was his team's highest-scoring starter.,
Lowest starter on team?,player_week,TRUE the week the player was his team's lowest-scoring starter.,One per team per week (alphabetical tie-break). Count is 'Times as Lowest starter on team?'.
Times as Lowest starter on team?,player_year / player_all_time,Season / career count of weeks the player was his team's lowest-scoring starter.,
Number of transactions,player_week / player_year / player_all_time / team_week / team_year / team_all_time / league_week / league_year / league_all_time,"Count of roster moves (adds + drops) in the period — for that player on player sheets, for the team/league on team/league sheets. Rolls week → year → all-time.",
Number of drops,player_week / player_year / player_all_time,Count of DROPS of this player in the period.,Rolls week → year → all-time.
Number of trades,player_week / player_year / player_all_time / team_week / team_year / team_all_time / league_week / league_year / league_all_time,Count of trades involving the row's subject in the period.,"On team/league year/all-time sheets, superseded by Offseason/Inseason/Total trades (multi-team trades counted once)."
Avg points,player_year / player_all_time / team_year / team_all_time,Mean points over every week the player was rostered here (started or benched).,Most derived metrics use the Adjusted variant instead.
Adjusted Avg points,player_year / player_all_time,Mean points per PLAYED week — bye/injury/suspension weeks dropped from the denominator.,What most derived metrics use.
Points (full season),player_year,"The player's total NFL fantasy points that season — every NFL game, even weeks he wasn't rostered here.","From nflverse (re-scored with league settings), not LOTG rosters."
Points (full career),player_all_time,The player's total NFL fantasy points across his whole career — every NFL game in every season.,"From nflverse, not LOTG rosters."
Avg points (full season),player_year,Per-game mean of Points (full season).,"From nflverse, not LOTG rosters."
Avg points (full career),player_all_time,Per-game mean of the player's career NFL points. Points (full career) / career games.,"From nflverse, not LOTG rosters."
PPG starter,player_year / player_all_time,Mean points in the player's STARTED weeks.,Blank if he never started that period.
